instagram_handle,creator_name,region_focus,source_countries,followers,engagement_avg,engagement_rate,composite_score,ltk_shopmy_signal,source_urls,ltk_signal,shopmy_signal,signal_source,signal_last_checked,creator_type,style_archetype,price_tier,category_focus,audience_life_stage,commerce_readiness_score,influence_score,matchability_score,audience_fit_score,final_score,scoring_notes,scored_on
aaronlin_monroe,Aaron Lin,Asia,Singapore,66500,3400,0.051128,0.033465,Unknown,https://hypeauditor.com/top-instagram-fashion-singapore/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,3.35,5,0,8.35,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
officialericaam,Erica M.,US/CA,United States,227400,11461,0.050400,0.033277,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-dallas-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,3.33,5,0,8.33,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
altonmason,Alton Mason,US/CA,United States,2800000,119280,0.042600,0.032784,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-fashion-instagram;https://infludata.com/rankings/top-20-influencer-united-states-of-america-new-york-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,edgy,premium,mixed,aspirational,0,3.28,15,0,18.28,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
dorra_zarrouk,DORRA,Asia,United Arab Emirates,17000000,59800,0.003518,0.032658,Unknown,https://hypeauditor.com/top-instagram-fashion-united-arab-emirates/,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,3.27,15,0,18.27,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
mrinmoyeeghose,Reem,US/CA,Canada,263900,12984,0.049200,0.032559,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-vancouver-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,3.26,5,0,8.26,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
saraxjoy,Sara Joy,US/CA,United States,131800,6498,0.049302,0.032389,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-diego-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,3.24,5,0,8.24,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
by.ivanaramirezm,Ivana Ramirez M,US/CA,United States,108500,5306,0.048903,0.032087,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-diego-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,3.21,5,0,8.21,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
hadassahthestylist,Hadassah the Stylist,US/CA,United States,19100,938,0.049110,0.032063,Unknown,https://www.upfluence.com/find-influencers/top-fashion-influencers-in-the-united-states-to-follow-in-2024-style-icons-redefining-the-industry,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,3.21,5,0,8.21,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
veenapraveenar,Veena Praveenar Singh,US/CA,Canada,2000000,86400,0.043200,0.031746,Unknown,https://infludata.com/rankings/top-20-influencer-canada-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,3.17,5,0,8.17,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
bryanschiller,bryanschiller,US/CA,United States,76200,3635,0.047703,0.031246,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-francisco-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,3.12,5,0,8.12,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
huang45490,ZHE,Asia,Hong Kong,332700,15500,0.046589,0.030978,Unknown,https://hypeauditor.com/top-instagram-fashion-hong-kong/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,3.10,5,0,8.10,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
breeaby,Breanna Baker,US/CA,United States,549000,25199,0.045900,0.030915,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-atlanta-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,3.09,5,0,8.09,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sphakiasanon,Sphakia Sanon,US/CA,United States,601000,27225,0.045300,0.030616,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-boston-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,3.06,5,0,8.06,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
camiliaaaaa_,CAMILIA NOH,Asia,Malaysia,290100,13200,0.045502,0.030192,Unknown,https://hypeauditor.com/top-instagram-fashion-malaysia/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,3.02,5,0,8.02,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
weddingtalk.morvarid,Ghazaleh Morvarid,US/CA,Canada,286000,12927,0.045199,0.029987,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-vancouver-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,occasion,aspirational,0,3.00,10,0,13.00,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
christiankuria,Christian Kuria,US/CA,United States,127800,5789,0.045297,0.029768,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-francisco-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.98,5,0,7.98,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
gabrielagonzalezofficial,Gabriela Gonzalez,Asia,United Arab Emirates,15700000,41400,0.002637,0.029759,Unknown,https://hypeauditor.com/top-instagram-fashion-united-arab-emirates/,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,2.98,15,0,17.98,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
urassayas,Urassaya Sperbund,Asia,Philippines;Thailand,12900000,130300,0.010101,0.029626,Unknown,https://hypeauditor.com/top-instagram-fashion-philippines/;https://hypeauditor.com/top-instagram-fashion-thailand/,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,2.96,15,0,17.96,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
latinabarbiejesss,LATINA BARBIE,US/CA,United States,580500,24961,0.042999,0.029077,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-diego-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,glam,mid,mixed,aspirational,0,2.91,15,0,17.91,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
chunli.fit,dani kabaha,US/CA,United States,93300,3984,0.042701,0.028012,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-boston-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,athleisure,mid,mixed,aspirational,0,2.80,15,0,17.80,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sooyoungchoi,Sooyoung Choi,Asia,Indonesia;Philippines;South Korea,7500000,166200,0.022160,0.027844,Unknown,https://hypeauditor.com/top-instagram-fashion-indonesia/;https://hypeauditor.com/top-instagram-fashion-philippines/;https://hypeauditor.com/top-instagram-fashion-south-korea/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,2.78,5,0,7.78,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
dhivya.sri,Dhivya Sri,US/CA,Canada,443000,18280,0.041264,0.027699,Unknown,https://www.upfluence.com/find-influencers/top-fashion-influencers-in-canada-to-follow-in-2024,Unknown,Unknown,Not Scanned,,fashion_influencer,preppy,mid,mixed,aspirational,0,2.77,15,0,17.77,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
lahony69,Yajaira Valdez,US/CA,United States,2000000,73400,0.036700,0.027503,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-atlanta-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,2.75,5,0,7.75,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sara.yosiif,Sara Yousef,Asia,United Arab Emirates,384100,15400,0.040094,0.026830,Unknown,https://hypeauditor.com/top-instagram-fashion-united-arab-emirates/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.68,5,0,7.68,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
jeffreestar,Jeffree Star,US/CA,United States,13700000,46580,0.003400,0.026682,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-phoenix-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,boho,luxury,mixed,luxury,0,2.67,15,0,17.67,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
rjchumbley,RJ Chumbley,US/CA,United States,224400,9043,0.040299,0.026678,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-diego-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.67,5,0,7.67,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
devilwearsbata,Rishitha,Asia,Singapore,29400,1200,0.040816,0.026667,Unknown,https://hypeauditor.com/top-instagram-fashion-singapore/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.67,5,0,7.67,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
suelynmedeiros,Suelyn Medeiros,US/CA,United States,6600000,149160,0.022600,0.026523,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,2.65,5,0,7.65,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
mirandakerr,Miranda Kerr,Asia,Japan,14300000,21600,0.001510,0.026521,Unknown,https://hypeauditor.com/top-instagram-fashion-japan/,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,2.65,15,0,17.65,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
people,People Magazine,US/CA,Canada,14600000,6200,0.000425,0.026349,Unknown,https://hypeauditor.com/top-instagram-fashion-canada/,Unknown,Unknown,Not Scanned,,publisher,classic,luxury,mixed,luxury,0,2.63,15,0,17.63,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
redvelvet.smtown,Red Velvet Official,Asia,Indonesia;Philippines;South Korea,11800000,92400,0.007831,0.026178,Unknown,https://hypeauditor.com/top-instagram-fashion-indonesia/;https://hypeauditor.com/top-instagram-fashion-philippines/;https://hypeauditor.com/top-instagram-fashion-south-korea/,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,2.62,15,0,17.62,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
anaszahrin,ANAS®,Asia,Malaysia,834800,30800,0.036895,0.025548,Unknown,https://hypeauditor.com/top-instagram-fashion-malaysia/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.55,5,0,7.55,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
shayhairmuseum,Natasha Laurent,US/CA,United States,749100,27492,0.036700,0.025267,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-atlanta-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.53,5,0,7.53,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
criollannabgo,Maria Fernanda Burbano Gomez,US/CA,United States,641100,23528,0.036699,0.025073,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-atlanta-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,streetwear,mid,mixed,aspirational,0,2.51,15,0,17.51,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
thekelseyowens,Kelsey Strong,US/CA,United States,677800,24740,0.036500,0.025009,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-houston-fashion-instagram;https://www.modash.io/find-influencers/united-states/fashion,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.50,5,0,7.50,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
tasdhaliwal,Tas Dhaliwal,US/CA,Canada,175900,6644,0.037771,0.024942,Unknown,https://www.upfluence.com/find-influencers/top-fashion-influencers-in-canada-to-follow-in-2024,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.49,5,0,7.49,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
miawilsonn,Mia Wilson,US/CA,United States,39900,1512,0.037895,0.024779,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-diego-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.48,5,0,7.48,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
chanelprincessdubai,Lee Davies,Asia,United Arab Emirates,2800000,84100,0.030036,0.024583,Unknown,https://hypeauditor.com/top-instagram-fashion-united-arab-emirates/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,2.46,5,0,7.46,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
nardosedaily,Nardose,US/CA,United States,364300,13370,0.036701,0.024580,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-atlanta-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.46,5,0,7.46,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
allnaturalkam,Kamilah Lige,US/CA,United States,343400,12603,0.036701,0.024543,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-atlanta-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.45,5,0,7.45,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
tyfrxncis.2,tyler,US/CA,United States,303100,11124,0.036701,0.024470,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-atlanta-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.45,5,0,7.45,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
kayarice_,kaya elizabeth,US/CA,United States,299400,10988,0.036700,0.024463,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-atlanta-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.45,5,0,7.45,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
tigerteeh,Touseef Panchbhaya,US/CA,United States,1500000,49950,0.033300,0.024390,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,2.44,5,0,7.44,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
calviinwilliams,Calvin,US/CA,United States,167100,6133,0.036703,0.024229,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-atlanta-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.42,5,0,7.42,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
oliviaboblet,Olivia Boblet,US/CA,United States,90000,3312,0.036800,0.024154,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-chicago-fashion-instagram-1,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.42,5,0,7.42,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
crazy_gamete,Crazy gamete,US/CA,Canada,174500,6369,0.036499,0.024109,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-vancouver-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.41,5,0,7.41,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
cassie,Cassie,US/CA,United States,12200000,42700,0.003500,0.024066,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-seattle-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,2.41,15,0,17.41,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
alissaviolet,Alissa Violet,US/CA,United States,11700000,44460,0.003800,0.023368,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-seattle-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,2.34,15,0,17.34,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
boy_pakorn,Boy Pakorn,Asia,Thailand,10000000,84100,0.008410,0.023338,Unknown,https://hypeauditor.com/top-instagram-fashion-thailand/,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,2.33,15,0,17.33,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
hauskris,Kristen Hollingshaus,US/CA,United States,272700,9544,0.034998,0.023305,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-francisco-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.33,5,0,7.33,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
prissychrissy__,Crystal,US/CA,United States,51600,1785,0.034593,0.022645,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-philadelphia-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.26,5,0,7.26,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
lesleyannemarsh,Lesleyanne Marsh,US/CA,United States,235100,7993,0.033998,0.022585,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-houston-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.26,5,0,7.26,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
lavanyavikram_,Lavanya Vikram,Asia,United Arab Emirates,1000000,31700,0.031700,0.022452,Unknown,https://hypeauditor.com/top-instagram-fashion-united-arab-emirates/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,2.25,5,0,7.25,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
karissa.wampler,Karissa Wampler,US/CA,United States,330600,11042,0.033400,0.022365,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-diego-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.24,5,0,7.24,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
queen_shalisa,The Goddess,US/CA,United States,114500,3836,0.033502,0.022045,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-philadelphia-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,glam,mid,mixed,aspirational,0,2.20,15,0,17.20,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
elnaz_golrokh,Elnaz Golrokh,US/CA,United States,9000000,79200,0.008800,0.021805,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,2.18,5,0,7.18,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
lexi_marvel,alexandra rae,US/CA,United States,3000000,75300,0.025100,0.021719,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-miami-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,2.17,5,0,7.17,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
taya.hair,Taya Tkachuk,US/CA,Canada,120000,3876,0.032300,0.021270,Unknown,https://www.modash.io/find-influencers/canada/fashion,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.13,5,0,7.13,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
stella_diner0,Stella Dinero,US/CA,United States,209500,6683,0.031900,0.021169,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-chicago-fashion-instagram-1,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.12,5,0,7.12,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
ponysmakeup,PONY,Asia,Indonesia;South Korea,8700000,74500,0.008563,0.021114,Unknown,https://hypeauditor.com/top-instagram-fashion-indonesia/;https://hypeauditor.com/top-instagram-fashion-south-korea/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,2.11,5,0,7.11,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
nathancjun,Nathan Jun,US/CA,United States,566000,17376,0.030700,0.021023,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-new-york-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.10,5,0,7.10,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
kaliknockers,Kali Knockers,US/CA,United States,677000,20513,0.030300,0.020961,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-new-york-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.10,5,0,7.10,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
jessicajane99,Jessica Jane,Asia,Indonesia,6100000,93700,0.015361,0.020904,Unknown,https://hypeauditor.com/top-instagram-fashion-indonesia/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,2.09,5,0,7.09,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
skip2fame,Skip2Fame,US/CA,Canada,55300,1736,0.031392,0.020562,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-vancouver-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.06,5,0,7.06,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
theresavandamstylist,Theresa Van Dam,US/CA,United States,318300,9676,0.030399,0.020384,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-chicago-fashion-instagram-1,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,2.04,5,0,7.04,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
toupeequeen,Emily Alexis Ann Cheney,US/CA,United States,733500,21382,0.029151,0.020312,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-diego-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,glam,mid,mixed,aspirational,0,2.03,15,0,17.03,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
taympala,Tay,US/CA,United States,213200,6353,0.029798,0.019804,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-diego-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.98,5,0,6.98,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
aliviathedoll,Alivia,US/CA,United States,520799,14999,0.028800,0.019702,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-atlanta-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.97,5,0,6.97,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
jenniferlhd,Jennifer LHD,US/CA,United States,1200000,32160,0.026800,0.019611,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-seattle-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,1.96,5,0,6.96,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
delulualbi,albi ibraimova,US/CA,United States,286900,8349,0.029101,0.019481,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-chicago-fashion-instagram-1,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.95,5,0,6.95,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
henryl89,Henry Lau,Asia,South Korea,8400000,57800,0.006881,0.019480,Unknown,https://hypeauditor.com/top-instagram-fashion-south-korea/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,1.95,5,0,6.95,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
thegm,Giselle,US/CA,United States,418100,11958,0.028601,0.019389,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-houston-fashion-instagram,Unknown,Unknown,Not Scanned,,publisher,classic,mid,mixed,aspirational,0,1.94,15,0,16.94,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
bellacampen,Bella Ranee Campen,Asia,Thailand,9100000,42800,0.004703,0.019310,Unknown,https://hypeauditor.com/top-instagram-fashion-thailand/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,1.93,5,0,6.93,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
