Brand Name,Website,Logo Status,Logo Path,Message
Lemaire,lemaire.fr,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
The Row,therow.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Toteme,toteme-studio.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Khaite,khaite.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Theory,theory.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Vince,vince.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Rag & Bone,rag-bone.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Equipment,equipment.fr,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Frame,frame-store.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Paige,paige.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Veronica Beard,veronicabeard.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
L'Agence,lagencefashion.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Alice + Olivia,aliceandolivia.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Tory Burch,toryburch.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Club Monaco,clubmonaco.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Sandro,sandro-paris.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Maje,maje.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Claudie Pierlot,claudiepierlot.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Ba&sh,ba-sh.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
The Kooples,thekooples.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Reiss,reiss.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
AllSaints,allsaints.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Ted Baker,tedbaker.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Karen Millen,karenmillen.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
